danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,Class
0.526,0.17,9,-13.089,0,0.0411,0.823,0.777,0.114,0.18,117.414,322133,4,jazz
0.445,0.223,3,-17.402,1,0.0374,0.921,0.884,0.131,0.225,110.821,391707,4,jazz
0.445,0.0978,3,-26.924,1,0.0397,0.965,0.915,0.121,0.173,117.283,396520,4,jazz
0.533,0.148,0,-18.275,1,0.0329,0.924,0.932,0.112,0.108,63.637,221733,4,jazz
0.383,0.131,7,-17.764,1,0.033,0.761,0.194,0.0973,0.101,98.606,447280,4,jazz
0.484,0.0291,10,-23.363,1,0.0459,0.961,0.474,0.115,0.379,98.434,389893,4,jazz
0.388,0.0354,7,-25.766,1,0.0421,0.986,0.956,0.178,0.198,143.514,232046,4,jazz
0.569,0.117,5,-22.741,1,0.0446,0.846,0.852,0.0978,0.101,60.483,282320,4,jazz
0.364,0.114,1,-16.552,1,0.0333,0.857,0.635,0.0839,0.0575,117.715,317946,3,jazz
0.539,0.0678,0,-18.039,1,0.0468,0.967,0.168,0.114,0.263,124.105,294667,4,jazz
0.42,0.105,6,-20.502,1,0.035,0.868,0.587,0.0957,0.0985,99.873,336373,4,jazz
0.428,0.212,0,-15.442,0,0.032,0.971,0.73,0.169,0.314,98.096,294587,3,jazz
0.386,0.125,9,-19.892,0,0.0572,0.886,0.878,0.189,0.14,78.553,348533,3,jazz
0.42,0.0802,7,-21.795,1,0.04,0.905,0.857,0.135,0.0541,122.041,257693,3,jazz
0.428,0.3,0,-8.885,1,0.034,0.937,0.658,0.168,0.235,122.667,240093,5,jazz
0.399,0.307,1,-14.38,1,0.0347,0.912,0.623,0.115,0.0659,116.308,325587,4,jazz
0.336,0.328,7,-15.005,0,0.0386,0.93,0.732,0.111,0.222,184.007,314493,3,jazz
0.368,0.14,0,-15.005,0,0.045,0.901,0.874,0.0688,0.172,61.758,428973,4,jazz
0.52,0.0748,8,-24.477,1,0.0497,0.748,0.633,0.102,0.122,107.327,341667,4,jazz
0.423,0.158,0,-15.59,0,0.0346,0.717,0.0075,0.0975,0.185,106.974,335333,4,jazz
0.45,0.0437,10,-29.46,1,0.0374,0.971,0.88,0.0948,0.0988,63.938,289693,4,jazz
0.421,0.0967,7,-16.441,0,0.0509,0.91,0.415,0.218,0.183,77.401,763467,4,jazz
0.331,0.0861,5,-21.226,1,0.0354,0.918,0.902,0.106,0.152,107.436,507533,4,jazz
0.575,0.0935,3,-15.906,1,0.0858,0.978,0.452,0.109,0.301,65.23,258040,4,jazz
0.461,0.0389,0,-20.482,1,0.0399,0.899,0.015,0.0927,0.125,109.374,477173,4,jazz
0.633,0.12,5,-20.066,0,0.0428,0.971,0.871,0.121,0.456,115.51,149072,3,jazz
0.411,0.0416,1,-23.23,1,0.0414,0.96,0.925,0.064,0.0782,97.96,246067,4,jazz
0.458,0.217,5,-16.582,1,0.0328,0.827,0.805,0.194,0.128,107.506,482187,4,jazz
0.724,0.647,1,-5.642,1,0.0658,0.28,0,0.102,0.435,106.96,207333,4,pop
0.752,0.488,6,-7.05,1,0.0705,0.297,0.00000911,0.0936,0.533,136.041,201661,4,pop
0.753,0.498,2,-5.61,1,0.0504,0.551,0,0.0706,0.927,89.95,158053,4,pop
0.665,0.699,11,-5.265,1,0.0578,0.423,0,0.0969,0.585,124.896,190932,4,pop
0.703,0.723,9,-5.45,0,0.0412,0.0302,0.00000206,0.126,0.288,104.969,198903,4,pop
0.757,0.849,5,-3.424,0,0.0536,0.173,0,0.0878,0.826,150.036,228207,4,pop
0.383,0.637,3,-6.993,1,0.0703,0.0722,0,0.368,0.0827,177.913,260773,4,pop
0.693,0.575,9,-6.998,1,0.0801,0.374,0,0.252,0.492,117.999,211362,4,pop
0.574,0.758,1,-5.029,0,0.0621,0.0969,0,0.395,0.492,144.111,182623,4,pop
0.498,0.104,1,-14.08,0,0.0621,0.979,0.0000786,0.0895,0.205,124.001,199931,3,pop
0.719,0.704,1,-4.724,1,0.0476,0.0691,0,0.166,0.628,133.002,187436,4,pop
0.805,0.87,6,-4.181,1,0.0439,0.035,0.0882,0.294,0.386,122.996,191496,4,pop
0.442,0.585,0,-10.332,0,0.0964,0.0984,0.391,0.14,0.116,97.565,229413,4,pop
0.678,0.729,8,-4.188,1,0.137,0.0658,0,0.303,0.643,99.895,189173,4,pop
0.772,0.493,5,-3.41,0,0.0729,0.0617,0.0328,0.154,0.385,143.97,94663,4,pop
0.841,0.798,1,-4.206,0,0.229,0.153,0.00000333,0.0618,0.591,95.948,212500,4,pop
