danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,Class
0.539,0.859,7,-4.465,1,0.0399,0.0317,0,0.102,0.456,89.937,186133,4,country
0.652,0.712,4,-4.588,1,0.0388,0.596,0,0.0814,0.553,120.063,202920,4,country
0.559,0.754,6,-5.344,0,0.0481,0.00184,0.000462,0.0366,0.438,85.993,188920,4,country
0.609,0.807,5,-7.221,1,0.0972,0.00403,0.00000542,0.0926,0.492,119.073,238493,4,country
0.687,0.75,11,-4.537,1,0.0965,0.107,0.00000305,0.161,0.911,98.987,172534,4,country
0.471,0.791,0,-4.817,1,0.0506,0.0836,0,0.0868,0.355,128.007,213399,4,country
0.517,0.776,11,-5.271,1,0.0362,0.0144,0,0.113,0.448,96.002,216533,4,country
0.432,0.796,4,-2.952,0,0.049,0.486,0,0.355,0.563,183.935,212120,4,country
0.533,0.907,11,-3.793,1,0.0406,0.0292,0,0.386,0.7,150.99,183160,4,country
0.552,0.698,8,-4.817,1,0.0306,0.294,0.000103,0.0905,0.6,90.006,202067,4,country
0.688,0.757,1,-5.202,0,0.0612,0.0523,0,0.0902,0.941,120.031,150893,4,country
0.552,0.573,9,-6.585,1,0.0948,0.0463,0,0.105,0.525,182.14,157422,4,country
0.623,0.828,3,-4.272,1,0.0565,0.162,0,0.0976,0.953,82.059,183140,4,country
0.644,0.713,9,-7.148,0,0.0547,0.0144,0,0.0829,0.468,95.999,192840,4,country
0.697,0.82,1,-4.275,1,0.0448,0.00928,0.000118,0.122,0.815,94.995,214096,4,country
0.697,0.531,2,-7.141,1,0.0268,0.251,0.000125,0.0954,0.631,99.98,184640,4,country
0.655,0.56,9,-6.857,1,0.0486,0.749,0,0.115,0.599,140.975,198440,4,country
0.641,0.84,0,-6.044,1,0.0279,0.000171,0.00179,0.109,0.545,112.99,199640,4,country
0.487,0.859,4,-4.403,1,0.0488,0.00204,0,0.322,0.377,148.037,228480,4,country
0.552,0.402,11,-7.431,1,0.0262,0.676,0,0.0928,0.382,103.313,193200,4,country
0.386,0.799,2,-3.789,1,0.0555,0.201,0,0.103,0.391,86.333,213024,4,country
0.628,0.708,11,-7.045,0,0.0287,0.309,0.00000132,0.109,0.276,111.047,288573,4,country
0.628,0.757,7,-3.561,1,0.0281,0.113,0,0.263,0.727,96.016,172253,4,country
0.51,0.386,1,-8.391,1,0.0307,0.456,0,0.252,0.266,86.36,199436,4,country
0.563,0.745,2,-4.753,1,0.0288,0.24,0.0000496,0.11,0.28,121.015,225694,4,country
0.629,0.464,4,-8.72,1,0.0334,0.75,0,0.0853,0.523,156.051,195053,4,country
0.423,0.813,9,-5.011,1,0.0507,0.218,0.00000162,0.0732,0.421,173.995,211720,4,country
0.609,0.68,9,-6.316,1,0.0348,0.0886,0,0.108,0.561,140.013,211547,4,country
0.705,0.761,0,-4.579,1,0.0298,0.00385,0,0.186,0.819,99.986,182133,4,country
0.543,0.88,3,-4.204,0,0.0365,0.035,0.000227,0.304,0.483,144.057,193067,4,country
0.631,0.44,1,-5.948,1,0.028,0.328,0,0.239,0.418,136.033,212745,4,country
0.612,0.671,6,-4.448,1,0.0276,0.397,0.00000119,0.0984,0.7,149.986,234293,4,country
